armLemma	armForm	pos	pos_coarse	feats
Աբեղ	Աբեղի	N	Ne	NUMBs|CASEg
Աբիա	Աբիայ	N	Ne	NUMBs|CASEg
Աբիլենացʻի	Աբիղէնացʻւոցʻ	N	Nb	NUMBp|CASEg
Աբրահամ	Աբրահամ	N	Ne	NUMBs|CASEa
Աբրահամ	Աբրահամ	N	Ne	NUMBs|CASEn
Աբրահամ	Աբրահամ	N	Ne	NUMBs|CASEv
Աբրահամ	Աբրահամու	N	Ne	NUMBs|CASEd
Աբրահամ	Աբրահամու	N	Ne	NUMBs|CASEg
Ահարովն	Ահարովնի	N	Ne	NUMBs|CASEg
Աղփʻեոս	Աղփʻեայ	N	Ne	NUMBs|CASEg
Անդրեաս	Անդրե՛աս	N	Ne	NUMBs|CASEa
Աննա	Անայի	N	Ne	NUMBs|CASEg
Աննա	Աննա	N	Ne	NUMBs|CASEn
Ասէր	Ասէրա	N	Ne	NUMBs|CASEg
Ասորի	Ասորի	A	A-	NUMBs|CASEn
Ասորի	ասորւոցʻ	N	Ne	NUMBp|CASEg
Աստուած	Աստուա՛ծ	N	Ne	NUMBs|CASEa
Աստուած	Աստուա՛ծ	N	Ne	NUMBs|CASEn
Աստուած	Աստուա՛ծ	N	Ne	NUMBs|CASEv
Աստուած	Աստուածո՛յ	N	Ne	NUMBs|CASEg
Աստուած	Աստուածոյ	N	Ne	NUMBs|CASEb
Աստուած	Աստուածոյ	N	Ne	NUMBs|CASEd
Աստուած	Աստուածոյ	N	Ne	NUMBs|CASEg
Աստուած	Աստուածոյ	N	Ne	NUMBs|CASEn
Արիմաթʻեա	Արիմաթʻեա՛յ	N	Ne	NUMBs|CASEb
Աւգոստոս	Աւգոստոս	N	Ne	NUMBs|CASEb
Բարաբբա	Բարա՛բբա	N	Ne	NUMBs|CASEa
Բարաբբա	Բարաբբայ	N	Ne	NUMBs|CASEa
Բարթʻողոմեոս	Բարթʻողոմե՛ոս	N	Ne	NUMBs|CASEa
Բեեղզեբուղ	Բեեղզեբուղաւ	N	Ne	NUMBs|CASEi
Բէթʻանիա	Բէթʻանիա	N	Ne	NUMBs|CASEa
Բէթʻհեզդա	Բէթʻհեզդա	N	Ne	NUMBs|CASEn
Բէթʻղեեմ	Բեթʻղեեմ	N	Ne	NUMBs|CASEa
Բէթʻղեեմ	Բեթʻղեեմ	N	Ne	NUMBs|CASEn
Բէթʻսայիդա	Բէթʻսայիդա	N	Ne	NUMBs|CASEn
Բէթʻսայիդա	Բէթʻսայիդա	N	Ne	NUMBs|CASEv
Բէթʻփʻագէ	Բէթʻփʻագէ	N	Ne	NUMBs|CASEa
Գագաթʻն	Գագաթʻն	N	Nb	NUMBs|CASEa
Գաղիղեա	Գաղիղեա	N	Ne	NUMBs|CASEa
