lemma;form;armLemma;armForm;pos;pos_coarse;feats
Abeł;Abełi;Աբեղ;Աբեղի;N;Ne;NUMBs|CASEg
Abia;Abiay;Աբիա;Աբիայ;N;Ne;NUMBs|CASEg
Abilenacʻi;Abiłēnacʻwocʻ;Աբիլենացի;Աբիղէնացւոց;N;Nb;NUMBp|CASEg
Abraham;Abraham;Աբրահամ;Աբրահամ;N;Ne;NUMBs|CASEa
Abraham;Abraham;Աբրահամ;Աբրահամ;N;Ne;NUMBs|CASEn
Abraham;Abraham;Աբրահամ;Աբրահամ;N;Ne;NUMBs|CASEv
Abraham;Abrahamow;Աբրահամ;Աբրահամու;N;Ne;NUMBs|CASEd
Abraham;Abrahamow;Աբրահամ;Աբրահամու;N;Ne;NUMBs|CASEg
Aharovn;Aharovni;Ահարովն;Ահարովնի;N;Ne;NUMBs|CASEg
Andreas;Andréas;Անդրեաս;Անդրե՛աս;N;Ne;NUMBs|CASEa
Anna;Anayi;Աննա;Անայի;N;Ne;NUMBs|CASEg
Anna;Anna;Աննա;Աննա;N;Ne;NUMBs|CASEn
Arimatʻea;Arimatʻeáy;Արիմաթեա;Արիմաթեա՛յ;N;Ne;NUMBs|CASEb
Asori;Asori;Ասորի;Ասորի;A;A-;NUMBs|CASEn
Asori;asorwocʻ;Ասորի;ասորւոց;N;Ne;NUMBp|CASEg
Astowac;Astowacoy;Աստուած;Աստուածոյ;N;Ne;NUMBs|CASEb
Astowac;Astowacoy;Աստուած;Աստուածոյ;N;Ne;NUMBs|CASEd
Astowac;Astowacoy;Աստուած;Աստուածոյ;N;Ne;NUMBs|CASEg
Astowac;Astowacoy;Աստուած;Աստուածոյ;N;Ne;NUMBs|CASEn
Astowac;Astowacóy;Աստուած;Աստուածո՛յ;N;Ne;NUMBs|CASEg
Astowac;Astowác;Աստուած;Աստուա՛ծ;N;Ne;NUMBs|CASEa
Astowac;Astowác;Աստուած;Աստուա՛ծ;N;Ne;NUMBs|CASEn
Astowac;Astowác;Աստուած;Աստուա՛ծ;N;Ne;NUMBs|CASEv
Asēr;Asēra;Ասէր;Ասէրա;N;Ne;NUMBs|CASEg
Awgostos;Awgostos;Աւգոստոս;Աւգոստոս;N;Ne;NUMBs|CASEb
Ałpʻeos;Ałpʻeay;Աղփեոս;Աղփեայ;N;Ne;NUMBs|CASEg
Barabba;Barabbay;Բարաբբա;Բարաբբայ;N;Ne;NUMBs|CASEa
Barabba;Barábba;Բարաբբա;Բարա՛բբա;N;Ne;NUMBs|CASEa
Bartʻołomeos;Bartʻołoméos;Բարթողոմեոս;Բարթողոմե՛ոս;N;Ne;NUMBs|CASEa
Beełzebowł;Beełzebowław;Բեեղզեբուղ;Բեեղզեբուղաւ;N;Ne;NUMBs|CASEi
Bētʻania;Bētʻania;Բէթանիա;Բէթանիա;N;Ne;NUMBs|CASEa
Bētʻhezda;Bētʻhezda;Բէթհեզդա;Բէթհեզդա;N;Ne;NUMBs|CASEn
Bētʻpʻagē;Bētʻpʻagē;Բէթփագէ;Բէթփագէ;N;Ne;NUMBs|CASEa
Bētʻsayida;Bētʻsayida;Բէթսայիդա;Բէթսայիդա;N;Ne;NUMBs|CASEn
Bētʻsayida;Bētʻsayida;Բէթսայիդա;Բէթսայիդա;N;Ne;NUMBs|CASEv
Bētʻłeem;Betʻłeem;Բէթղեեմ;Բեթղեեմ;N;Ne;NUMBs|CASEa
